2000	5e-06	0.000111747	0.00201088
4000	1.925e-05	0.000163458	0.00588809
6000	8.2e-05	0.000288528	0.0108181
8000	0.000222625	0.00043006	0.0164921
10000	0.000483	0.000529501	0.0227262
12000	0.000818417	0.000682703	0.0293939
14000	0.00130936	0.000778612	0.0364027
16000	0.0019325	0.000931715	0.0436813
18000	0.00274011	0.00106273	0.0511738
20000	0.00365765	0.00118813	0.0588348
22000	0.00488745	0.00129842	0.0666272
24000	0.00614642	0.00148338	0.0745204
26000	0.00762958	0.00158419	0.0824888
28000	0.00926843	0.00170449	0.0905106
30000	0.0110863	0.0018553	0.0985676
